id,name,url,platform,catalog_type,government_level,country,country_name,owner_name,owner_type,api_endpoint,dataset_count,status
datacatalog.510.global,510 Data Catalog,https://datacatalog.510.global,ckan,Open data portal,federal,NL,Netherlands,510 (Netherlands Red Cross),Civil society,https://datacatalog.510.global/api/3,0,active
data.aberdeencity.gov.uk,Aberdeen City Council Open Data Portal,https://data.aberdeencity.gov.uk,ckan,Open data portal,local,GB,United Kingdom,Aberdeen City Council,Local government,https://data.aberdeencity.gov.uk/api/3,0,active
data.ha.or.th,Accounting System for Healthcare Accreditation Institute (Public Organization),https://data.ha.or.th,ckan,Open data portal,federal,TH,Thailand,Healthcare Accreditation Institute (Public Organization),Central government,https://data.ha.or.th/api/3,33,active
catalog-acfs.data.go.th,ACFS Data Catalog,https://catalog-acfs.data.go.th,ckan,Open data portal,federal,TH,Thailand,Agricultural Commodity and Food Standards Office (ACFS),Central government,https://catalog-acfs.data.go.th/api/3,0,active
actionagainststunting.openfn.org,Action Against Stunting Data - Open Data Portal,https://actionagainststunting.openfn.org,ckan,Open data portal,federal,GB,United Kingdom,UKRI GCRF Action Against Stunting Hub,International,,0,active
datahub.hymarc.org,admin Open Data Portal,https://datahub.hymarc.org,ckan,Open data portal,federal,US,United States,admin,Academy,https://datahub.hymarc.org/api/3,0,active
ckan.africadatahub.org,Africa Data Hub CKAN Repository,https://ckan.africadatahub.org,ckan,Open data portal,federal,World,World,Open Cities Labs,Community,https://ckan.africadatahub.org/api/3,218,active
open.africa,Africa Largest Volunteer Driven Open Data Platform,https://open.africa,ckan,Open data portal,federal,Africa,Africa,Code for Africa,Civil society,https://open.africa/api/3,6967,active
africaopendata.org,Africa Open Data Open Data Portal,https://africaopendata.org,ckan,Open data portal,international,World,World,Africa Open Data,Civil society,https://africaopendata.org/api/3,6967,active
opendata.demo.ss-proj.org,African Centre for Media Excellence Open Data Portal,https://opendata.demo.ss-proj.org,ckan,Open data portal,federal,UG,Uganda,African Centre for Media Excellence,Civil society,,0,inactive
afrischolarrepository.net.ng,Afrischolar Discovery Initiative (ADI),https://afrischolarrepository.net.ng/,ckan,Open data portal,federal,NG,Nigeria,Afrischolar Discovery Initiative,Non-profit,,0,active
agefmad-backoffice.data4citizen.com,AGEFMA - Open Data Formation et Emploi Martinique,https://agefmad-backoffice.data4citizen.com,ckan,Open data portal,federal,FR,France,AGEFMA,Non-profit,https://agefmad-backoffice.data4citizen.com/api/3,61,active
trouver.ternum-bfc.fr,Agence Régionale du Numérique et de l'intelligence artificielle - ARNia Open data portal,https://trouver.ternum-bfc.fr,ckan,Open data portal,federal,FR,France,Agence Régionale du Numérique et de l'intelligence artificielle - ARNia,Regional government,,0,active
ckan.dev.aging-research.group,Aging Research Open Data Portal,https://ckan.dev.aging-research.group/,ckan,Open data portal,international,World,World,Aging Research,Academy,,0,active
opendata.alro.go.th,Agricultural land reform office open data (Thailand),http://opendata.alro.go.th,ckan,Open data portal,federal,TH,Thailand,Agricultural land reform office (Thailand),Central government,http://opendata.alro.go.th/api/3,0,active
ckan.sig.cm-agueda.pt,Águeda Open Data Platform,https://ckan.sig.cm-agueda.pt,ckan,Open data portal,local,PT,Portugal,Águeda City Council,Local government,https://ckan.sig.cm-agueda.pt/api/3,176,active
adr.unaids.org,AIDS Data Repository,https://adr.unaids.org,ckan,Open data portal,federal,World,World,UNAIDS,International,https://adr.unaids.org/api/3,597,active
opendata.reus.cat,Ajuntament de Reus - Open Data,https://opendata.reus.cat/cps_dataset,ckan,Open data portal,local,ES,Spain,Ajuntament de Reus,Local government,https://opendata.reus.cat/api/3,0,active
ckan.pref.akita.lg.jp,Akita prefecture open data,https://ckan.pref.akita.lg.jp,ckan,Open data portal,state,JP,Japan,Akita prefecture,Regional government,https://ckan.pref.akita.lg.jp/api/3,253,active
dados.al.gov.br,Alagoas em Dados A plataforma de dados abertos do estado.,https://dados.al.gov.br/catalogo,ckan,Open data portal,state,BR,Brazil,State of Alagoas,Regional government,https://dados.al.gov.br/catalogo/api/3,363,active
portal.dados.al.gov.br,Alagoas em Dados e Informações,https://portal.dados.al.gov.br,ckan,Open data portal,state,BR,Brazil,Alagoas State Government,Regional government,,0,active
arcticatlas.geobotany.org,Alaska Arctic Geoecological Atlas (AAGA) Data Catalog,https://arcticatlas.geobotany.org/catalog,ckan,Open data portal,state,US,United States,University of Alaska,Academy,https://arcticatlas.geobotany.org/catalog/api/3,0,active
catalog.epscor.alaska.edu,Alaska EPSCoR Central Portal,https://catalog.epscor.alaska.edu,ckan,Open data portal,state,US,United States,University of Alaska,Academy,https://catalog.epscor.alaska.edu/api/3,829,active
ckan.ali-sea.org,ALiSEA Agroecology Library,https://ckan.ali-sea.org,ckan,Open data portal,international,World,World,ALiSEA Regional Coordination Office,International,https://ckan.ali-sea.org/api/3,1029,active
t-opendata67.alsace.eu,Alsace region Open Data Portal,https://t-opendata67.alsace.eu,ckan,Open data portal,federal,FR,France,Alsace region,Regional government,https://t-opendata67.alsace.eu/api/3,0,active
platform.alternative-project.eu,ALTERNATIVE - Environmental Toxicity Chemical Mixtures Platform,https://platform.alternative-project.eu/,ckan,Open data portal,federal,EU,European Union,ALTERNATIVE Project,Academy,https://platform.alternative-project.eu/api/3,9,active
ambar.utpl.edu.ec,Ambar DataStore estadísticas,http://ambar.utpl.edu.ec,ckan,Open data portal,state,EC,Ecuador,Universidad Técnica Particular de Loja,Academy,http://ambar.utpl.edu.ec/api/3,0,active
ckan.americaview.org,AmericaView Resources,https://ckan.americaview.org,ckan,Open data portal,federal,US,United States,AmericaView,Civil society,https://ckan.americaview.org/api/3,257,active
data.amerigeoss.org,AmeriGEOSS Community Platform DataHub. (BETA),https://data.amerigeoss.org,ckan,Open data portal,federal,US,United States,AmeriGEOSS,Academy,https://data.amerigeoss.org/api/3,645296,active
amsterdamopendata.nl,Amsterdam Open Data,https://www.amsterdamopendata.nl/home,ckan,Open data portal,,NL,,,,https://data.amsterdamopendata.nl/api/,0,
data.anaee.eu,Analysis and experimentation on ecosystems data portal,https://data.anaee.eu,ckan,Open data portal,federal,EU,European Union,Analysis and experimentation on ecosystems EU Project,Academy,,0,active
embed.aging-research.group,Analytics Core - Cancer and Aging Research Group,https://embed.aging-research.group,ckan,Open data portal,federal,US,United States,Cancer and Aging Research Group,Academy,,0,active
data.boston.gov,Analyze Boston,https://data.boston.gov,ckan,Open data portal,local,US,United States,City of Boston,Local government,https://data.boston.gov/api/3,230,active
opendata.angus.gov.uk,Angus Open Data Hub,https://opendata.angus.gov.uk,ckan,Open data portal,local,GB,United Kingdom,Angus Council,Local government,http://opendata.angus.gov.uk/api/3,34,active
aperto.comune.torino.it,APERTO - Portale Open Data del Comune di Torino,http://aperto.comune.torino.it,ckan,Open data portal,local,IT,Italy,Citta de Torino,Local government,http://aperto.comune.torino.it/api/3,0,active
dataurbe.appcivico.com,AppCívico,https://dataurbe.appcivico.com,ckan,Open data portal,federal,LatinAmerica,Latin America,AppCivico,Civil society,,0,active
dataportal.aquacross.eu,AQUACROSS Data Portal,https://dataportal.aquacross.eu,ckan,Open data portal,federal,EU,European Union,AQUACROSS Project,Academy,https://dataportal.aquacross.eu/api/3,0,active
data.maintenance.org.au,ARC Training Centre for Transforming Maintenance through Data Science Open Data Portal,https://data.maintenance.org.au,ckan,Open data portal,federal,AU,Australia,ARC Training Centre for Transforming Maintenance through Data Science,Academy,https://data.maintenance.org.au/api/3,0,active
archive.data.gov.my,Archive Portal Data Terbuka Malaysia,https://archive.data.gov.my,ckan,Open data portal,federal,MY,Malaysia,Government of Malaysia,Central government,https://archive.data.gov.my/api/3,0,active
apgc.awi.de,Arctic Permafrost Geospatial Centre (APGC),https://apgc.awi.de,ckan,Open data portal,federal,DE,Germany,Arctic Permafrost Geospatial Centre,Academy,https://apgc.awi.de/api/3,469,active
opendata.arda.or.th,ARDA Opendata,https://opendata.arda.or.th,ckan,Open data portal,federal,TH,Thailand,"Agricultural Research Development Agency (ARDA), Thailand",Central government,https://opendata.arda.or.th/api/3,40,active
dati.arpacampania.it,Arpac Open Data è il portale,https://dati.arpacampania.it,ckan,Open data portal,state,IT,Italy,Agenzia Regionale per la Protezione dell'Ambiente,Regional government,https://dati.arpacampania.it/api/3,39,active
dataportal.asia,Asia Open Data Portal,https://dataportal.asia,ckan,Open data portal,federal,TW,Taiwan,Asia Open Data Partnership,International,https://dataportal.asia/api/3,0,active
opendata.asmenet.it,ASMENET OPENDATA,https://opendata.asmenet.it,ckan,Open data portal,state,IT,Italy,Asmenet,Business,https://opendata.asmenet.it/api/3,7,active
mdep.smdh.uk,Asset Explorer,https://mdep.smdh.uk/,ckan,Open data portal,federal,GB,United Kingdom,STFC Hartree Centre,Central government,https://mdep.smdh.uk/api/3,88,active
data.sefarad.com.tr,Association of Sephardic Centre of Istanbul Open Data Portal,https://data.sefarad.com.tr,ckan,Open data portal,federal,TR,Turkey,Association of Sephardic Centre of Istanbul,Civil society,https://data.sefarad.com.tr/api/3,0,active
datos.icane.es,atálogo de Información Estadística Pública de la Comunidad Autónoma de Cantabria,https://datos.icane.es,ckan,Open data portal,state,ES,Spain,Comunidad Autónoma de Cantabria,Regional government,https://datos.icane.es/api/3,256,active
opendata.sbcountyatc.gov,ATC OpenData,https://opendata.sbcountyatc.gov,ckan,Open data portal,local,US,United States,San Bernardino County Auditor-Controller/Treasurer-Tax Collector,Local government,https://opendata.sbcountyatc.gov/api/3,8,active
data.ata.gov.et,ATI Data portal,http://data.ata.gov.et,ckan,Open data portal,federal,ET,Ethiopia,Agricultural Transformation Agency - ATA,Central government,http://data.ata.gov.et/api/3,23,active
data.aurin.org.au,AURIN Data Catalogue,https://data.aurin.org.au,ckan,Open data portal,federal,AU,Australia,Government of Australia,Academy,https://data.aurin.org.au/api/3,4821,active
auroraldatacatalogue.eu,AURORAL Data Catalogue,https://auroraldatacatalogue.eu/,ckan,Open data portal,federal,EU,European Union,AURORAL Project,Academy,,0,active
data.gov.au,Australia data portal (CKAN),https://data.gov.au,ckan,Open data portal,federal,AU,Australia,Government of Australia,Central government,,0,active
datos.acumar.gov.ar,Autoridad de Cuenca Matanza Riachuelo - ACUMAR,https://datos.acumar.gov.ar,ckan,Open data portal,state,AR,Argentina,ACUMAR,Regional government,,0,active
datos.acumar.gob.ar,Autoridad de Cuenca Matanza Riachuelo (ACUMAR) Data Catalog,https://datos.acumar.gob.ar,ckan,Open data portal,state,AR,Argentina,Autoridad de Cuenca Matanza Riachuelo (ACUMAR),Central government,,0,active
data.avinor.no,AVINOR Datakatalog,https://data.avinor.no,ckan,Open data portal,state,NO,Norway,Avinor,Business,https://data.avinor.no/api/3,0,active
avoindata.fi,Avoindata.fi Data Catalog,https://avoindata.fi/data,ckan,Open data portal,federal,FI,Finland,Verkkopalvelun kehittämisestä vastaa,Central government,https://avoindata.fi/data/api/3,2493,active
awsis.akvotest.org,AWSIS - Water Security Information System,https://awsis.akvotest.org,ckan,Open data portal,state,IN,India,Alliance for Water Security in the Indian Sundarbans,Non-profit,,0,active
datosabiertos.ayto-alcorcon.es,Ayuntamiento de Alcorcón Open Data Portal,https://datosabiertos.ayto-alcorcon.es,ckan,Open data portal,federal,ES,Spain,Ayuntamiento de Alcorcón,Local government,https://datosabiertos.ayto-alcorcon.es/api/3,8,active
datosabiertos.ayto-arganda.es,Ayuntamiento de Arganda del Rey - Portal de Datos Abiertos,https://datosabiertos.ayto-arganda.es,ckan,Open data portal,local,ES,Spain,Ayuntamiento de Arganda del Rey,Local government,https://datosabiertos.ayto-arganda.es/api/3,1047,active
encinasreales-opendata.e-admin.es,Ayuntamiento de Encinas Reales - Datos Abiertos,https://encinasreales-opendata.e-admin.es/,ckan,Open data portal,local,ES,Spain,Ayuntamiento de Encinas Reales,Local government,https://encinasreales-opendata.e-admin.es/api/3,36,active
datosabiertos.ayto-fuenlabrada.es,Ayuntamiento de Fuenlabrada Open Data Portal,https://datosabiertos.ayto-fuenlabrada.es,ckan,Open data portal,federal,ES,Spain,Ayuntamiento de Fuenlabrada,Local government,https://datosabiertos.ayto-fuenlabrada.es/api/3,0,active
montoro-opendata.e-admin.es,Ayuntamiento de Montoro - Datos Abiertos,https://montoro-opendata.e-admin.es/,ckan,Open data portal,local,ES,Spain,Ayuntamiento de Montoro,Local government,https://montoro-opendata.e-admin.es/api/3,32,active
datosabiertos.rivasciudad.es,Ayuntamiento de Rivas Vaciamadrid - Portal de Datos Abiertos,https://datosabiertos.rivasciudad.es,ckan,Open data portal,local,ES,Spain,Ayuntamiento de Rivas Vaciamadrid,Local government,https://datosabiertos.rivasciudad.es/api/3,7,active
datosabiertos.sagunto.es,Ayuntamiento de Sagunto Open Data Portal,http://datosabiertos.sagunto.es,ckan,Open data portal,federal,ES,Spain,Ayuntamiento de Sagunto,Local government,,0,active
catalogo.villanuevadelaserena.es,Ayuntamiento de Villanueva de la Serena,http://catalogo.villanuevadelaserena.es,ckan,Open data portal,federal,ES,Spain,Ayuntamiento de Villanueva de la Serena,Local government,http://catalogo.villanuevadelaserena.es/api/3,47,active
b2find.eudat.eu,B2FIND,https://b2find.eudat.eu,ckan,Open data portal,federal,EU,European Union,EUDAT CDI,Central government,https://b2find.eudat.eu/api/3,1457676,active
opendata.b40cities.org,B40 Balkan Cities Network Open Data Portal,https://opendata.b40cities.org/,ckan,Open data portal,international,World,World,B40 Balkan Cities Network,Civil society,https://opendata.b40cities.org/api/3,645,active
ballaratopendata.org.au,Ballarat Open Data,https://ballaratopendata.org.au,ckan,Open data portal,state,AU,Australia,Ballarat Open Data,Community,https://ballaratopendata.org.au/api/3,476,active
opendata.bcb.gov.br,Banco Central do Brasil Open Data Portal,https://opendata.bcb.gov.br,ckan,Open data portal,federal,BR,Brazil,Banco Central do Brasil,Central government,https://opendata.bcb.gov.br/api/3,2860,active
data.bandaacehkota.go.id,Banda Aceh Open Data Portal,https://data.bandaacehkota.go.id,ckan,Open data portal,local,ID,Indonesia,Pemerintah Kota Banda Aceh,Local government,https://data.bandaacehkota.go.id/api/3,0,active
data.bandung.go.id,Bandung City Open Data,https://data.bandung.go.id,ckan,Open data portal,federal,ID,Indonesia,Pemerintah Kota Bandung,Local government,https://data.bandung.go.id/api/3,0,active
data.bangkok.go.th,Bangkok Government Open Data,https://data.bangkok.go.th,ckan,Open data portal,state,TH,Thailand,Bangkok Government,Regional government,https://data.bangkok.go.th/api/3,1309,active
data.mempawahkab.go.id,Bank Oneda Mempawah,https://data.mempawahkab.go.id,ckan,Open data portal,local,ID,Indonesia,Mempawah Regency,Local government,,0,active
data.bantulkab.go.id,Bantulkab Open Data Portal,https://data.bantulkab.go.id,ckan,Open data portal,local,ID,Indonesia,Pemerintah Kabupaten Bantul (Bantul Regency Government),Local government,https://data.bantulkab.go.id/api/3,0,active
data.barrowbc.gov.uk,Barrow-in-Furness Borough Council Data Catalog,https://data.barrowbc.gov.uk,ckan,Open data portal,local,GB,United Kingdom,Barrow Borough Council,Local government,https://data.barrowbc.gov.uk/api/3,0,active
basedosdados.org,Base dos Dados,https://basedosdados.org,ckan,Open data portal,federal,BR,Brazil,Instituto Base dos Dados,Business,http://basedosdados.org/api/3,0,active
dati.regione.basilicata.it,Basilicata Open Data catalog,http://dati.regione.basilicata.it/catalog,ckan,Open data portal,state,IT,Italy,Regione Basilicata,Regional government,http://dati.regione.basilicata.it/catalog/api/3,0,active
portaldata.batukota.go.id,Batu City Open Data,https://portaldata.batukota.go.id,ckan,Open data portal,federal,ID,Indonesia,Pemerintah Kota Batu,Local government,https://portaldata.batukota.go.id/api/3,0,active
data.batubarakab.go.id,Batubarakab Open Data Portal,https://data.batubarakab.go.id,ckan,Open data portal,local,ID,Indonesia,Batu Bara Regency Government,Local government,https://data.batubarakab.go.id/api/3,234,active
catalogue.data.gov.bc.ca,BC Data Catalogue,https://catalogue.data.gov.bc.ca,ckan,Open data portal,state,CA,Canada,Government of British Columbia,Regional government,,0,active
data.beatona.net,Beatona Map Catalogue,http://data.beatona.net,ckan,Open data portal,federal,KW,Kuwait,Kuwait Environment Public Authority (KEPA),Central government,http://data.beatona.net/api/3,0,active
data.biodiversity.be,Belgian biodiversity data portal,https://data.biodiversity.be,ckan,Open data portal,federal,BE,Belgium,The Belgian Biodiversity Platform,Academy,https://data.biodiversity.be/api/3,549,active
dados.pbh.gov.br,Belo Horizonte City Hall Open Data Portal,https://dados.pbh.gov.br,ckan,Open data portal,local,BR,Brazil,Belo Horizonte City Hall,Local government,https://dados.pbh.gov.br/api/3,569,active
dadosabertos.cascais.pt,Bem-vindo - CascaisData - Câmara Municipal de Cascais,https://dadosabertos.cascais.pt,ckan,Open data portal,local,PT,Portugal,Cascais City Council,Local government,https://dadosabertos.cascais.pt/api/3,0,active
opendata.conselldeivissa.es,Benvinguts - Consell Insular d'Eivissa - Portal de Datos Abiertos,https://opendata.conselldeivissa.es,ckan,Open data portal,federal,ES,Spain,Consell Insular d'Eivissa,Local government,https://opendata.conselldeivissa.es/api/3,0,active
datenregister.berlin.de,Berlin Government Open Data Portal,https://datenregister.berlin.de,ckan,Open data portal,local,DE,Germany,Berlin Government,Local government,,0,active
bernco.civicdashboards.com,Bernalillo County Open Data Sandbox,https://bernco.civicdashboards.com,ckan,Open data portal,local,US,United States,Bernalillo County,Local government,,0,active
betsentiment.com,Betsentiment Open Data Portal,https://betsentiment.com,ckan,Open data portal,international,World,World,Betsentiment,Business,,0,active
datacatalog.bde.go.th,"Big Data Institute (Public Organization), Thailand Open Data Portal",https://datacatalog.bde.go.th,ckan,Open data portal,federal,TH,Thailand,"Big Data Institute (Public Organization), Thailand",Central government,https://datacatalog.bde.go.th/api/3,52,active
cityobservatory.birmingham.gov.uk,Birmingham City Observatory,https://www.cityobservatory.birmingham.gov.uk,ckan,Open data portal,local,GB,United Kingdom,Birmingham City,Local government,https://birmingham-city-observatory.datopian.com/api/3,0,active
birmingham-city-observatory.datopian.com,Birmingham City Observatory - Open Data Portal,https://birmingham-city-observatory.datopian.com,ckan,Open data portal,federal,GB,United Kingdom,Birmingham City Council,Local government,https://birmingham-city-observatory.datopian.com/api/3,0,active
opendata.blitarkab.go.id,Blitar Regency Open Data,https://opendata.blitarkab.go.id,ckan,Open data portal,federal,ID,Indonesia,Local Government of Blitarkab,Local government,https://opendata.blitarkab.go.id/api/3,1682,active
data.bnpb.go.id,BNPB Data Catalog,https://data.bnpb.go.id,ckan,Open data portal,federal,ID,Indonesia,"National Agency for Disaster Management (Badan Nasional Penanggulangan Bencana, BNPB)",Central government,https://data.bnpb.go.id/api/3,2821,active
data.bodik.jp,BODIK ODCS,https://data.bodik.jp,ckan,Open data portal,federal,JP,Japan,Big Data & Open Data Initiative Kyushu,Business,https://data.bodik.jp/api/3,17195,active
